kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Nyborgkredsen,1. Hundstrup Sogn,Britta Schall Holberg,"Venstre, Danmarks Liberale Parti",V,8
Nyborgkredsen,1. Hundstrup Sogn,Lene Høsthaab,"Venstre, Danmarks Liberale Parti",V,0
Nyborgkredsen,1. Hundstrup Sogn,Erik Larsen,"Venstre, Danmarks Liberale Parti",V,52
Nyborgkredsen,1. Hundstrup Sogn,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",V,1
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Enhedslisten - De Rød-Grønne,Ø,10
Nyborgkredsen,1. Hundstrup Sogn,Bernard Jeune,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Hundstrup Sogn,Rune Lund,Enhedslisten - De Rød-Grønne,Ø,4
Nyborgkredsen,1. Hundstrup Sogn,Jesper Kiel,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Hundstrup Sogn,Signe Færch,Enhedslisten - De Rød-Grønne,Ø,4
Nyborgkredsen,1. Hundstrup Sogn,Lone Christiansen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Hundstrup Sogn,Finn Ove Hansen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Hundstrup Sogn,Stine Johansen,Enhedslisten - De Rød-Grønne,Ø,1
Nyborgkredsen,1. Hundstrup Sogn,Morten Pabst Petersen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Kværndrup,Partiliste,Socialdemokratiet,A,150
Nyborgkredsen,1. Kværndrup,Niels Sindal,Socialdemokratiet,A,38
Nyborgkredsen,1. Kværndrup,Poul Andersen,Socialdemokratiet,A,4
Nyborgkredsen,1. Kværndrup,Lotte Bundsgaard,Socialdemokratiet,A,128
Nyborgkredsen,1. Kværndrup,Helle Eckeroth,Socialdemokratiet,A,5
Nyborgkredsen,1. Kværndrup,Carsten Hansen,Socialdemokratiet,A,15
Nyborgkredsen,1. Kværndrup,Niclas Turan Kandemir,Socialdemokratiet,A,2
Nyborgkredsen,1. Kværndrup,Jesper Kinch-Jensen,Socialdemokratiet,A,3
Nyborgkredsen,1. Kværndrup,Niels Chr. Nielsen,Socialdemokratiet,A,8
Nyborgkredsen,1. Kværndrup,Irene Pedersen,Socialdemokratiet,A,0
Nyborgkredsen,1. Kværndrup,Partiliste,Det Radikale Venstre,B,80
Nyborgkredsen,1. Kværndrup,Karen Krebs,Det Radikale Venstre,B,8
Nyborgkredsen,1. Kværndrup,Jon Gaarsmand,Det Radikale Venstre,B,0
Nyborgkredsen,1. Kværndrup,Solveig Gaarsmand,Det Radikale Venstre,B,9
Nyborgkredsen,1. Kværndrup,Morten Kirk Jensen,Det Radikale Venstre,B,2
