Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Struerkredsen;1. Struer;I;Liberal Alliance;Alex Vanopslagh;74
Struerkredsen;1. Struer;I;Liberal Alliance;Søren Lodahl;0
Struerkredsen;1. Struer;I;Liberal Alliance;Sine Rahbek;0
Struerkredsen;1. Struer;I;Liberal Alliance;Nicolaj Dupont-Mersing;0
Struerkredsen;1. Struer;I;Liberal Alliance;Jannie Leth Christensen;0
Struerkredsen;1. Struer;I;Liberal Alliance;Lene Foged;2
Struerkredsen;1. Struer;I;Liberal Alliance;Steffen Troldtoft;0
Struerkredsen;1. Struer;I;Liberal Alliance;Rune Leth Svenninggaard;0
Struerkredsen;1. Struer;K;Kristendemokraterne;Partiliste;38
Struerkredsen;1. Struer;K;Kristendemokraterne;Jens Erik Thomey Damgaard;9
Struerkredsen;1. Struer;K;Kristendemokraterne;Kristian Andersen;59
Struerkredsen;1. Struer;K;Kristendemokraterne;Simon Skals;7
Struerkredsen;1. Struer;K;Kristendemokraterne;Jens Kr. Mølby Nielsen;0
Struerkredsen;1. Struer;K;Kristendemokraterne;Annemarie Bjerre;2
Struerkredsen;1. Struer;K;Kristendemokraterne;Frits Hammershøj;1
Struerkredsen;1. Struer;K;Kristendemokraterne;Hanne Simonsen;0
Struerkredsen;1. Struer;K;Kristendemokraterne;Karlo Brondbjerg;0
Struerkredsen;1. Struer;K;Kristendemokraterne;Henrik Dideriksen;1
Struerkredsen;1. Struer;K;Kristendemokraterne;Karen-Margrethe Lysholm;1
Struerkredsen;1. Struer;O;Dansk Folkeparti;Partiliste;255
Struerkredsen;1. Struer;O;Dansk Folkeparti;Alex Rosenbæk;12
Struerkredsen;1. Struer;O;Dansk Folkeparti;Dennis Flydtkjær;55
Struerkredsen;1. Struer;O;Dansk Folkeparti;Jette Lund;36
Struerkredsen;1. Struer;O;Dansk Folkeparti;Richardt Graakjær Bostrup Møller;2
Struerkredsen;1. Struer;O;Dansk Folkeparti;Jakob Kjærsgaard;4
Struerkredsen;1. Struer;O;Dansk Folkeparti;Bo Sand Kristensen;1
Struerkredsen;1. Struer;O;Dansk Folkeparti;Kuno F. Danielsen;0
Struerkredsen;1. Struer;O;Dansk Folkeparti;Karina Due;15
Struerkredsen;1. Struer;O;Dansk Folkeparti;Christian Langballe;18
Struerkredsen;1. Struer;O;Dansk Folkeparti;Liselotte Lynge Jensen;15
Struerkredsen;1. Struer;O;Dansk Folkeparti;Anette Svindborg;4
Struerkredsen;1. Struer;P;Stram Kurs;Partiliste;67
Struerkredsen;1. Struer;P;Stram Kurs;Emil Normann Munk;6
Struerkredsen;1. Struer;P;Stram Kurs;August Jeberg;1
Struerkredsen;1. Struer;P;Stram Kurs;Thomas Schack;3
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Partiliste;296
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Thomas Danielsen;472
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Anders G. Jacobsen;21
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Bent Jensen;2
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Kristian Jensen;52
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Natascha Joof;5
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Carsten Kissmeyer;26
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Holger Laustsen;0
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Kristian Pihl Lorentzen;15
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Kenneth Mikkelsen;4
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Inger Støjberg;360
Struerkredsen;1. Struer;V;Venstre, Danmarks Liberale Parti;Gitte Willumsen;4
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Partiliste;125
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Ditte Stage Kroman;35
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Jakob Sølvhøj;16
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Jakob Lindell Ruggaard;0
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Lea Kielsholm;5
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Mehmet Akbina;8
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Malte Bang;2
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Johnny Zaar;1
