Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Karl H. Bornhøft;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Henning Jørgensen;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Jacob Klivager;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Lene Linnemann;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Thorkil Olesen;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Lisbeth Bech Poulsen;2
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Janni Platz Sthyr;0
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Partiliste;0
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Christina Egelund;1
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Bo Ritterbusch;0
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Martin K. Madsen;0
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Jacob Høfler;0
Frederikshavnkredsen;2. Hulsig;I;Liberal Alliance;Claus Hermansen;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Partiliste;1
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Britta Eckhardt;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Inger Ottesen;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;David Jakobsen;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Piratheep Krishnapalan;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Robert Thomsen;0
Frederikshavnkredsen;2. Hulsig;K;Kristendemokraterne;Anne-Marie Jørgensen;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Partiliste;9
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Bent Bøgsted;2
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Peter Sørensen;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Kim Edberg Andersen;3
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Morten Marinus;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Hans Henrik Sørensen;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Tommy Degn;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Lise Bech;1
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Ib Poulsen;0
Frederikshavnkredsen;2. Hulsig;O;Dansk Folkeparti;Erik Høgh-Sørensen;0
Frederikshavnkredsen;2. Hulsig;P;Stram Kurs;Partiliste;1
Frederikshavnkredsen;2. Hulsig;P;Stram Kurs;Uwe Max Jensen;0
Frederikshavnkredsen;2. Hulsig;P;Stram Kurs;Danni Pedersen;0
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Partiliste;12
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Henrik Buchhave;1
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Marie Bjerre;0
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Preben Bang Henriksen;6
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Henrik Jørgensen;0
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Karsten Lauritzen;11
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Torsten Schack Pedersen;0
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Thomas Thomsen;0
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Maja Torp;1
Frederikshavnkredsen;2. Hulsig;V;Venstre, Danmarks Liberale Parti;Anne Honoré Østergaard;1
Frederikshavnkredsen;2. Hulsig;Ø;Enhedslisten - De Rød-Grønne;Partiliste;4
Frederikshavnkredsen;2. Hulsig;Ø;Enhedslisten - De Rød-Grønne;Poul-Erik Andersen;2
