Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,4. Bølgen,Klaus Hækkerup,Socialdemokratiet,11,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Nick Hækkerup,Socialdemokratiet,43,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Marianne Stendell,Socialdemokratiet,4,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Kristine Thrane,Socialdemokratiet,4,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,Radikale Venstre,82,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Helge Vagn Jacobsen,Radikale Venstre,22,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Christian Friis Bach,Radikale Venstre,6,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Helle Løvgreen Mølvig,Radikale Venstre,3,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Margrethe Vestager,Radikale Venstre,333,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,Det Konservative Folkeparti,122,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Isabella Meyer,Det Konservative Folkeparti,46,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Mette Abildgaard,Det Konservative Folkeparti,14,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Casper Strunge Andersen,Det Konservative Folkeparti,4,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Lars Barfoed,Det Konservative Folkeparti,111,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Lars N. Carstensen,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Rasmus Mahler,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,SF - Socialistisk Folkeparti,150,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Andreas Holck Høeg-Petersen,SF - Socialistisk Folkeparti,24,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Hanne Berg,SF - Socialistisk Folkeparti,10,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Michael Buk,SF - Socialistisk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,19,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Nanna Westerby,SF - Socialistisk Folkeparti,18,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Peter Westermann,SF - Socialistisk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,Liberal Alliance,98,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Anders Samuelsen,Liberal Alliance,169,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Jørgen Christensen,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Lars Engelberth,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,L. Michael Herløv,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Niels Westy Munch-Holbek,Liberal Alliance,5,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Jens E. Pedersen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Rikke Weissfeld,Liberal Alliance,18,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,Kristendemokraterne,7,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,1,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Claus Dyhrberg,Kristendemokraterne,0,Nordsjællands Storkreds
