Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Renate Hendriksen,Danmarksdemokraterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niklas Fritz Kjærulff,Danmarksdemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anton Rosenstrøm Laursen,Danmarksdemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bob Richard Nielsen,Danmarksdemokraterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Dina Person,Danmarksdemokraterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Erik Poulsen,Danmarksdemokraterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Morten Vehl Revsbeck,Danmarksdemokraterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Claus Bisgaard Skovmose,Danmarksdemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bent Juul Sørensen,Danmarksdemokraterne,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nikolaj Vang,Danmarksdemokraterne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Enhedslisten - De Rød-Grønne,352,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Per Clausen,Enhedslisten - De Rød-Grønne,80,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Frederikke Hellemann,Enhedslisten - De Rød-Grønne,46,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nana Højlund,Enhedslisten - De Rød-Grønne,13,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Ludvig Goldschmidt,Enhedslisten - De Rød-Grønne,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Asta Kofod,Enhedslisten - De Rød-Grønne,16,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Reinout Bosch,Enhedslisten - De Rød-Grønne,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Torsten Ringgaard,Enhedslisten - De Rød-Grønne,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Stine Ry Andersen,Enhedslisten - De Rød-Grønne,15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Selma Bolø,Enhedslisten - De Rød-Grønne,10,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Victoria Velásquez,Enhedslisten - De Rød-Grønne,54,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Ibrahim Benli,Enhedslisten - De Rød-Grønne,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Christian Schmidt Jacobsen,Enhedslisten - De Rød-Grønne,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Clara Turms,Enhedslisten - De Rød-Grønne,23,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Alternativet,125,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jan Kristoffersen,Alternativet,63,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karoline Lindgaard,Alternativet,35,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Petar Socevic,Alternativet,13,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Nilas Bay-Foged,Alternativet,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sofie Groth,Alternativet,47,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jørn Grønkjær,Alternativet,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Valentina Crast,Alternativet,7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Julius Schubring,Alternativet,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Johannes Slyngborg,Alternativet,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Yurdal Cicek,Alternativet,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anette Jensen Smith,Alternativet,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mikael Hertig,Alternativet,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Irina Bjørnø,Alternativet,0,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Socialdemokratiet,316,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Christel Schaldemose,Socialdemokratiet,463,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Niels Fuglsang,Socialdemokratiet,28,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Marianne Vind,Socialdemokratiet,25,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Magnus Barsøe,Socialdemokratiet,14,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Asser Mortensen,Socialdemokratiet,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Mathias Niebuhr,Socialdemokratiet,17,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Niels Christian Dahl,Socialdemokratiet,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Andi Helbo Sejersen,Socialdemokratiet,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Tayo Lill Andreasen,Socialdemokratiet,1,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Maria Radoor,Socialdemokratiet,26,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Radikale Venstre,191,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Sigrid Friis,Radikale Venstre,171,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Anne Sophie Callesen,Radikale Venstre,10,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Philip Tarning-Andersen,Radikale Venstre,6,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Anne-Sofie Sadolin Henningsen,Radikale Venstre,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Charlotte Amdi Burgess,Radikale Venstre,1,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Kathrine Olldag,Radikale Venstre,1,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Frederik Aagaard Sørensen,Radikale Venstre,6,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Hediye Temiz,Radikale Venstre,19,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Jens Frost,Radikale Venstre,0,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,João Møller,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Jan Werner Mathiasen,Radikale Venstre,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Kim Pagels,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Finn Hartvig Nielsen,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Sissel van Run-Kvist,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Martin Schepelern,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Michael Flarup,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Asmus Knigge Vilster,Radikale Venstre,0,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Nikolai Tange,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Lars Fogh Mortensen,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Lartey Lawson,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Det Konservative Folkeparti,155,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Niels Flemming Hansen,Det Konservative Folkeparti,47,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Marcus Knuth,Det Konservative Folkeparti,23,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Birgitte Bergman,Det Konservative Folkeparti,15,Fyns Storkreds
